INSERT INTO tb_funcionarios
    (fun_nome, fun_cpf, fun_senha, fun_funcao)
VALUES
    ('Ahmed Martins', '22328461030', 'AVL22KHG6MN', 'Auxiliar administrativo'),
    ( 'Imani da Costa', '34754614605', 'ZOV47OTU6QU', 'Açougueiro'),
    ( 'Jakeem dos Anjos', '33352533378', 'PKE32OUS3FK', 'Repositor'),
    ( 'Jamal de Morais', '47303309635', 'XOO28BCU8YH', 'Estoquista'),
    ( 'Joey Melo', '48819785223', 'PBT42XHL2MO', 'Operador de caixa'),
    ( 'Josephine da Rocha', '02201432281', 'UYY76UJQ5SU', 'Empacotador'),
    ( 'Kaitlin Sousa', '51438202898', 'FIY52MYM4UX', 'Padeiro'),
    ( 'Karina de Araujo', '82103928634', 'VFT51VUX6XK', 'Padeiro'),
    ( 'Kaseem Freitas', '12443341777', 'BBE63MOJ1IE', 'Açougueiro'),
    ( 'Karly do Nascimento', '73451443778', 'LFD81QDG4SM', 'Estoquista'),
    ( 'Keith de Castro', '65356816162', 'VOI05ISF5JI', 'Estoquista'),
    ( 'Kenyon Marinho', '77138730567', 'KMK10YGA5ID', 'Padeiro'),
    ( 'Kirestin Bento', '03736467555', 'SFM22BFY4VE', 'Empacotador'),
    ( 'Kylan da Costa', '84634939434', 'GDB22YVV4WL', 'Peixeiro'),
    ( 'Laura Moura', '31751856492', 'PBG53LPJ5BB', 'Peixeiro'),
    ( 'Len Medeiros', '72365370975', 'PME44JDG4SH', 'Repositor'),
    ( 'Leilani Garcia', '68856044421', 'ISF60CJJ1UC', 'Peixeiro'),
    ( 'Lev Brandao', '97582367608', 'XSI73QHS7MJ', 'Repositor'),
    ( 'Lester de Assis', '68810472468', 'TMW58JQN1JR', 'Repositor'),
    ( 'Lucy de Andrade', '82237194311', 'XIJ26WNQ6CA', 'Açougueiro'),
    ( 'Maia Maia', '58474766757', 'UIY82NKV3IY', 'Operador de caixa'),
    ( 'Martina Cabral', '55982659783', 'LNH22MOJ7BU', 'Repositor'),
    ( 'Maxine Rodrigues', '37787351414', 'ORB13UZK6UF', 'Repositor'),
    ( 'Melanie Trindade', '45883826272', 'WVX56BTF6UC', 'Estoquista'),
    ( 'Melodie Nogueira', '28335673372', 'YVL60KEL1BK', 'Empacotador'),
    ( 'Mollie dos Santos', '58472576830', 'MYW38JKC2NV', 'Empacotador'),
    ( 'Molly Queiroz', '79804862738', 'YMW86ENQ8II', 'Açougueiro'),
    ( 'Moses Duarte', '80117517723', 'XMD42UED5DC', 'Repositor'),
    ( 'Nicholas Das Chagas', '78747181218', 'HLC02NVW4UV', 'Repositor'),
    ( 'Ora Caetano', '71714911300', 'YKT83CQM0ER', 'Empacotador'),
    ( 'Orla Peixoto', '74634814094', 'RIJ34MJJ8ID', 'Repositor'),
    ( 'Paloma de Matos', '58232072319', 'MGZ82SII3CC', 'Repositor'),
    ( 'Patrick Das Dores', '46018197238', 'FZY16QPA4DV', 'Estoquista'),
    ( 'Phelan Domingues', '65204538842', 'SFQ77EBL2FH', 'Padeiro'),
    ( 'Quinn da Conceição', '24784372685', 'IRT37XCJ6DW', 'Auxiliar administrativo'),
    ( 'Quintessa dos Anjos', '14125965742', 'KGS66HPL8ER', 'Repositor'),
    ( 'Quintessa Teles', '14283143356', 'XRF76BQQ7OX', 'Estoquista'),
    ( 'Rafael Ferreira', '65666331626', 'BRL52NFP4PH', 'Empacotador'),
    ( 'Regina Castro', '13976188670', 'DKF75JKO3KU', 'Açougueiro'),
    ( 'Rudyard Cardoso', '88268767617', 'LJQ65TUT3GS', 'Auxiliar administrativo'),
    ( 'Sara Gonzaga', '50326965573', 'GSN40VDJ5OJ', 'Repositor'),
    ( 'Skyler de Paula', '81136822321', 'BGL13FCJ4YA', 'Repositor'),
    ( 'Stacy Dantas', '72350576639', 'BGM18TRE8PD', 'Padeiro'),
    ( 'Sylvester Torres', '45771305225', 'QQJ27GHD0AN', 'Padeiro'),
    ( 'Tanek Reis', '74142492086', 'PFH71TZL3CJ', 'Auxiliar administrativo'),
    ( 'Troy Matos', '58757796866', 'LVL51XPI5TX', 'Peixeiro'),
    ( 'Vivien da Luz', '41985162262', 'HIC01CKC7BS', 'Auxiliar administrativo'),
    ( 'William Braga', '11182659570', 'IZT82SHS0TH', 'Empacotador'),
    ( 'Winter Sántos', '54582671955', 'UJQ63IKM4LD', 'Repositor'),
    ( 'Zephania Sousa', '18688888257', 'BMB21JWZ8KA', 'Operador de caixa');
